text,intent,emotion,text_length
i feel so sad today,sadness,sad,19
i can't stop crying,sadness,sad,19
i feel empty inside,depression,despair,19
nothing makes me happy anymore,depression,sad,30
i feel so anxious,anxiety,fear,17
i'm constantly worried,anxiety,fear,22
my heart is racing and i'm scared,anxiety,fear,33
i can't stop overthinking,anxiety,fear,25
i feel like i'm going to panic,anxiety,fear,30
i'm so stressed about work,stress,frustrated,26
i have too much on my plate,stress,frustrated,27
i feel burned out,stress,exhausted,17
i'm exhausted all the time,stress,exhausted,26
i can't handle the pressure anymore,stress,frustrated,35
i feel so lonely,loneliness,sad,16
nobody understands me,loneliness,sad,21
i have no one to talk to,loneliness,sad,24
i feel isolated from everyone,loneliness,sad,29
i miss having real connections,loneliness,sad,30
i'm so angry all the time,anger,angry,25
i want to scream,anger,angry,16
i can't control my temper,anger,angry,25
i feel like exploding,anger,angry,21
people keep hurting me,anger,frustrated,22
i feel worthless,low_self_esteem,despair,16
i hate myself,low_self_esteem,despair,13
i'm a failure,low_self_esteem,sad,13
i'm not good enough,low_self_esteem,sad,19
nobody would miss me,low_self_esteem,despair,20
i can't sleep at night,sleep_issues,anxious,22
i keep having nightmares,sleep_issues,fear,24
i wake up feeling tired,sleep_issues,exhausted,23
i lie awake overthinking,sleep_issues,anxious,24
i sleep too much but still feel tired,sleep_issues,exhausted,37
i need help,seeking_help,anxious,11
can you help me feel better,seeking_help,sad,27
i don't know what to do,seeking_help,confused,23
how do i cope with this,seeking_help,anxious,23
i want to feel better,seeking_help,hopeful,21
i'm having a good day,positive,happy,21
i feel happy today,positive,happy,18
things are getting better,positive,hopeful,25
i feel grateful,positive,happy,15
i'm proud of myself,positive,happy,19
i feel confused about my life,confusion,confused,29
i don't know who i am anymore,confusion,confused,29
my future feels uncertain,confusion,anxious,25
i feel lost,confusion,confused,11
i don't know my purpose,confusion,confused,23
